tm,warning_type,주의보_개수
2021-05-22,"태풍주의보, 한파주의보",2
2021-05-23,"태풍주의보, 한파주의보",2
2021-05-24,"태풍주의보, 한파주의보",2
2021-05-25,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-05-26,"태풍주의보, 한파주의보",2
2021-05-27,"태풍주의보, 한파주의보",2
2021-05-28,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-05-29,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-05-30,"태풍주의보, 한파주의보",2
2021-05-31,"태풍주의보, 한파주의보",2
2021-06-01,"태풍주의보, 한파주의보",2
2021-06-02,"태풍주의보, 한파주의보",2
2021-06-03,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-06-04,"태풍주의보, 한파주의보",2
2021-06-05,"태풍주의보, 한파주의보",2
2021-06-06,"태풍주의보, 한파주의보",2
2021-06-07,"태풍주의보, 한파주의보",2
2021-06-08,"태풍주의보, 한파주의보",2
2021-06-09,"태풍주의보, 한파주의보",2
2021-06-10,"태풍주의보, 한파주의보",2
2021-06-11,"태풍주의보, 한파주의보, 호우주의보",3
2021-06-12,"태풍주의보, 한파주의보",2
2021-06-13,"태풍주의보, 한파주의보",2
2021-06-14,"태풍주의보, 한파주의보",2
2021-06-15,"태풍주의보, 한파주의보",2
2021-06-16,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-06-17,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-06-18,"태풍주의보, 한파주의보",2
2021-06-19,"태풍주의보, 한파주의보",2
2021-06-20,"태풍주의보, 한파주의보",2
2021-06-21,"태풍주의보, 한파주의보",2
2021-06-22,"태풍주의보, 한파주의보, 호우주의보",3
2021-06-23,"태풍주의보, 한파주의보",2
2021-06-24,"태풍주의보, 한파주의보",2
2021-06-25,"태풍주의보, 한파주의보",2
2021-06-26,"태풍주의보, 한파주의보",2
2021-06-27,"태풍주의보, 한파주의보",2
2021-06-28,"태풍주의보, 한파주의보",2
2021-06-29,"태풍주의보, 한파주의보",2
2021-06-30,"태풍주의보, 한파주의보",2
2021-07-01,"태풍주의보, 한파주의보",2
2021-07-02,"태풍주의보, 한파주의보",2
2021-07-03,"태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",4
2021-07-04,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",5
2021-07-05,"태풍주의보, 한파주의보, 호우주의보",3
2021-07-06,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",5
2021-07-07,"태풍주의보, 한파주의보, 호우주의보",3
2021-07-08,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-09,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-10,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-11,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-12,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
