시군구,사고월,사고일,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
금정구,07월,부상[명],8,8,1,5,2,1,5,5,7,3,2,1,-,10,3,2,7,2,11,2,4,3,3,5,2,2,17,-,4,1,1
금정구,07월,(중상자[명]),1,2,0,0,0,0,3,1,3,2,1,0,-,0,0,1,3,0,6,0,2,1,1,1,0,1,4,-,0,0,1
금정구,08월,사고[건],2,1,-,4,2,-,3,1,1,1,2,3,2,5,1,2,2,3,1,3,1,2,3,1,3,1,-,1,4,2,3
금정구,08월,사망[명],0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0
금정구,08월,부상[명],2,1,-,8,3,-,3,1,1,1,2,3,2,6,1,2,3,3,1,3,1,2,5,1,4,1,-,1,11,2,6
금정구,08월,(중상자[명]),1,0,-,3,1,-,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,3,0,2,0,-,0,4,1,3
금정구,09월,사고[건],-,2,2,4,5,1,2,1,3,3,1,4,1,3,5,2,1,2,2,1,2,1,4,2,3,5,4,1,5,2,-
금정구,09월,사망[명],-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-
금정구,09월,부상[명],-,2,5,4,6,1,4,1,5,4,1,9,1,4,6,4,1,6,2,0,2,1,8,4,3,6,11,2,5,2,-
금정구,09월,(중상자[명]),-,0,4,2,1,0,1,0,1,0,1,1,0,4,3,1,0,0,0,0,1,0,1,2,1,2,3,1,0,0,-
금정구,10월,사고[건],-,4,2,2,-,5,5,7,1,1,1,4,2,3,-,2,1,3,3,1,4,2,3,4,2,-,4,3,2,5,6
금정구,10월,사망[명],-,0,0,0,-,0,1,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0
